,Year,County,Ozone (ppb)
236,2014,Solano,27.008117163412148
237,2014,Sonoma,24.858418636995818
238,2014,Stanislaus,32.06245945945946
239,2014,Sutter,34.46822201138521
240,2014,Tehama,37.84116824196599
241,2014,Tulare,41.00771857923498
242,2014,Tuolumne,38.4385194029851
243,2014,Ventura,31.815374999999918
244,2014,Yolo,26.62184903047091
245,2015,Alameda,26.465841387856294
246,2015,Amador,28.506698630136995
247,2015,Butte,35.61772602739726
248,2015,Calaveras,32.48387671232876
249,2015,Colusa,28.767083102493082
250,2015,Contra Costa,27.041267763649955
251,2015,El Dorado,42.535756363636324
252,2015,Fresno,34.04415367679438
253,2015,Glenn,29.683928767123277
254,2015,Humboldt,24.809393689986322
255,2015,Imperial,31.13776140065146
256,2015,Inyo,42.05349722222221
257,2015,Kern,36.88752626086959
258,2015,Kings,32.913849447513805
259,2015,Lake,30.949619178082173
260,2015,Los Angeles,31.37707758435415
261,2015,Madera,33.32305873925503
262,2015,Marin,23.532795580110495
263,2015,Mariposa,46.2680256880734
264,2015,Mendocino,22.086852941176485
265,2015,Merced,32.53713953488373
266,2015,Monterey,26.92684417965169
267,2015,Napa,23.50987016574584
268,2015,Nevada,48.00488539741219
269,2015,Orange,30.345733976567907
270,2015,Placer,33.502355444997214
271,2015,Riverside,38.32991222096096
272,2015,Sacramento,28.725038430744483
273,2015,San Benito,29.769593150684923
274,2015,San Bernardino,39.6559168479574
275,2015,San Diego,33.05225687830681
276,2015,San Francisco,23.22817857142858
277,2015,San Joaquin,31.084867950481478
278,2015,San Luis Obispo,31.662408640507337
279,2015,San Mateo,22.20863535911603
280,2015,Santa Barbara,31.823718381502783
281,2015,Santa Clara,27.13037704918037
282,2015,Santa Cruz,24.136715068493157
283,2015,Shasta,32.07683801295895
284,2015,Siskiyou,27.63607967032969
285,2015,Solano,27.575985641025657
286,2015,Sonoma,23.955785419532326
287,2015,Stanislaus,30.78864574616458
288,2015,Sutter,33.809630314232905
289,2015,Tehama,38.66840823970042
290,2015,Tulare,40.01384235453321
291,2015,Tuolumne,34.08798082191783
292,2015,Ventura,31.531042951541835
293,2015,Yolo,27.349818930041177
294,2016,Alameda,25.494926972281426
295,2016,Amador,28.207030054644793
296,2016,Butte,34.714380821917835
297,2016,Calaveras,33.2847349726776
298,2016,Colusa,31.802575757575756
299,2016,Contra Costa,26.213354477611922
300,2016,El Dorado,44.745012738853475
301,2016,Fresno,34.44024862096146
302,2016,Glenn,29.437943502824858
303,2016,Humboldt,25.227054869684505
304,2016,Imperial,31.112709147771717
305,2016,Inyo,37.83702124311568
306,2016,Kern,38.08775543290785
307,2016,Kings,33.341103448275874
308,2016,Lake,28.18723770491802
309,2016,Los Angeles,30.453347384028838
310,2016,Madera,32.40582489740086
311,2016,Marin,23.40432240437158
312,2016,Mariposa,47.36834476190476
313,2016,Mendocino,22.76501114206128
314,2016,Merced,31.869213114754096
315,2016,Monterey,25.51973952641169
316,2016,Napa,22.69419672131149
317,2016,Nevada,46.10685792349726
318,2016,Orange,30.51007517241376
319,2016,Placer,35.62565424739189
320,2016,Riverside,39.020536681051276
321,2016,Sacramento,28.66931543357195
322,2016,San Benito,28.987733516483527
323,2016,San Bernardino,40.667936001917454
324,2016,San Diego,35.96736227045079
325,2016,San Francisco,23.06859178082192
326,2016,San Joaquin,29.027654794520597
327,2016,San Luis Obispo,31.41373746081501
328,2016,San Mateo,21.84924863387978
329,2016,Santa Barbara,30.737847356321865
330,2016,Santa Clara,25.692315741583247
331,2016,Santa Cruz,23.64477839335181
332,2016,Shasta,30.397084663428195
333,2016,Siskiyou,20.864423822714684
334,2016,Solano,26.592783811475396
335,2016,Sonoma,23.643828016643543
336,2016,Stanislaus,29.183526170798846
337,2016,Sutter,34.424153310104536
338,2016,Tehama,39.76534280639434
339,2016,Tulare,41.30624482988656
340,2016,Tuolumne,38.06646067415732
341,2016,Ventura,31.45110416666663
342,2016,Yolo,26.59103872752423
